Gene,Mean_GBM,Mean_Other,Diff_Score,T_Stat,P_Value,FDR,Cohen_D,Std_GBM,Std_Other,Rank_Selectivity
HNRNPD,-0.20231614995161173,-0.2246227466100505,0.02230659665843876,0.929504783737736,0.3555752700970526,0.6020604502464826,0.11760289741183061,0.19182169819428954,0.1895370750028728,14301
TTC9B,-0.023617170536740735,-0.0459293803217144,0.022312209784973662,1.737289156403733,0.0863944318587768,0.2679276247283859,0.21993790446144193,0.10266077426328572,0.10136843930462204,14302
CBS,0.014146854219895815,-0.008173418354340807,0.022320272574236622,1.7914064215131154,0.07716698802629596,0.25063022194354306,0.21719571113244468,0.09928552483761485,0.1029878073455451,14303
USH1C,0.10467196211457784,0.08233654115318369,0.022335420961394153,2.6119864489507267,0.01077304595678846,0.07388446068203902,0.2919960545659855,0.06768534320316714,0.07702968388572583,14304
BAG5,-0.16552402764201876,-0.18786026885902196,0.0223362412170032,1.8916365025619073,0.06231340587125524,0.21870066171021288,0.23027237425725905,0.0941205183507892,0.09718334545782659,14305
SMIM15,0.04519989558324072,0.02285190023967386,0.022347995343566865,2.0366347783036973,0.044982835758114834,0.17924160621750157,0.21729656907784564,0.08647217685986029,0.10382031284127455,14306
KLK14,0.042410566282586895,0.0200619990331681,0.022348567249418794,1.5060010260905357,0.13603644787583624,0.35147976179562246,0.16554314041474444,0.11728019829068659,0.1360732546872336,14307
PLPP5,0.06485904286969033,0.04250907490211056,0.022349967967579765,1.7891797041221795,0.07731450869838052,0.25075885523580477,0.1856390695219202,0.09815835811103739,0.12169926995496275,14308
ZBED3,0.04516383402747848,0.02280815838878768,0.022355675638690797,1.865331880076731,0.06578045698922656,0.22606232155114,0.19798448189412587,0.09439643549404697,0.11401577426639391,14309
C17orf98,-0.24603213327322096,-0.26838913277264753,0.022356999499426572,1.3467153621400263,0.18198558840233425,0.4140045147985607,0.1572045126944941,0.1318932844951011,0.1428610347124642,14310
SEMA6A,0.06781692931153122,0.04545222918616387,0.022364700125367343,2.1870842947472675,0.031674110409969494,0.14449891563450926,0.23910554893883762,0.08077481361206647,0.09430433382499484,14311
ATG14,-0.07687324692470897,-0.09924409139822847,0.022370844473519502,1.1422385255817347,0.2568143736642144,0.5037802647383296,0.12814710139361346,0.15507278767743776,0.1757639003673767,14312
PCDH1,0.18458278210525197,0.1622083331055597,0.022374448999692265,1.3896462648782675,0.16869129737613836,0.3960203787970067,0.17439422037648528,0.128622858494317,0.12827697841993854,14313
H2AC1,-0.029512382759545916,-0.05189535747686467,0.022382974717318753,2.0192820557990467,0.04670974395988626,0.1833521057234502,0.20274715846599692,0.08678749596014604,0.11176035421888962,14314
RET,0.1404534999290758,0.11806288920443368,0.022390610724642115,1.4950146094848755,0.13906968856480664,0.3556423241570084,0.1911007434518102,0.1197953319669627,0.11699365064051376,14315
